-	/flower buds*/shape	/flower buds*/shape	/flower buds*/texture	/flower buds*/texture	/flower buds/length* (cm)	/flower buds/length* (cm)	/flower buds/length* (cm)/minimum	/flower buds/length* (cm)/maximum	/flower buds/length*/texture	/flower buds/length*/texture	/flower buds/style*/shape	/flower buds/style*/shape	/flowers*/shape	/flowers*/shape	/flowers*/position	/flowers*/position	/flowers*/margin type	/flowers*/margin type	/flowers*/growth form	/flowers*/growth form	/flowers/colour*/colour	/flowers/colour*/colour	/flowers/length* (cm)	/flowers/length* (cm)	/flowers/length* (cm)/minimum	/flowers/length* (cm)/maximum	/flowers/merosity*/minimum	/flowers/merosity*/maximum	/flowers/merosity*/shape	/flowers/merosity*/shape	/flowers/style*/shape	/flowers/style*/shape	/flowers/style*/texture	/flowers/style*/texture	/fruits*/shape	/fruits*/shape	/fruits*/texture	/fruits*/texture	/fruits*/growth form	/fruits*/growth form	/fruits/colour*/margin type	/fruits/colour*/margin type	/fruits/colour*/colour	/fruits/colour*/colour	/fruits/dimensions* (cm)	/fruits/dimensions* (cm)	/fruits/dimensions* (cm)/minimum	/fruits/dimensions* (cm)/maximum	/fruits/perianth segments*/shape	/fruits/perianth segments*/shape	/fruits/shape*/shape	/fruits/shape*/shape	/habit*/environment	/habit*/environment	/habit*/shape	/habit*/shape	/habit*/hairs	/habit*/hairs	/habit*/colour	/habit*/colour	/habit/basal cataphylls/cataphyll pair number*/minimum	/habit/basal cataphylls/cataphyll pair number*/maximum	/habit/basal cataphylls/relative distance* (cm)	/habit/basal cataphylls/relative distance* (cm)	/habit/basal cataphylls/relative distance* (cm)/minimum	/habit/basal cataphylls/relative distance* (cm)/maximum	/habit/basal cataphylls/relative distance*/shape	/habit/basal cataphylls/relative distance*/shape	/habit/colour*/texture	/habit/colour*/texture	/habit/colour*/colour	/habit/colour*/colour	/habit/epicortical roots*/shape	/habit/epicortical roots*/shape	/habit/epicortical roots*/growth form	/habit/epicortical roots*/growth form	/habit/internodes*/shape	/habit/internodes*/shape	/habit/internodes*/hairs	/habit/internodes*/hairs	/habit/internodes/length* (cm)	/habit/internodes/length* (cm)	/habit/internodes/length* (cm)/minimum	/habit/internodes/length* (cm)/maximum	/habit/stems*/shape	/habit/stems*/shape	/habit/stems*/growth form	/habit/stems*/growth form	/inflorescences*/shape	/inflorescences*/shape	/inflorescences*/texture	/inflorescences*/texture	/inflorescences*/position	/inflorescences*/position	/inflorescences*/margin type	/inflorescences*/margin type	/inflorescences*/hairs	/inflorescences*/hairs	/inflorescences*/growth form	/inflorescences*/growth form	/inflorescences/calyculus*/texture	/inflorescences/calyculus*/texture	/inflorescences/calyculus*/margin type	/inflorescences/calyculus*/margin type	/inflorescences/calyculus*/growth form	/inflorescences/calyculus*/growth form	/inflorescences/fertile internodes/fertile internode number*/minimum	/inflorescences/fertile internodes/fertile internode number*/maximum	/inflorescences/flowers/flower number per bract*/minimum	/inflorescences/flowers/flower number per bract*/maximum	/inflorescences/length* (cm)	/inflorescences/length* (cm)	/inflorescences/length* (cm)/minimum	/inflorescences/length* (cm)/maximum	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/position	/inflorescences/peduncle*/position	/inflorescences/peduncle/length* (cm)	/inflorescences/peduncle/length* (cm)	/inflorescences/peduncle/length* (cm)/minimum	/inflorescences/peduncle/length* (cm)/maximum	/inflorescences/position*/shape	/inflorescences/position*/shape	/inflorescences/position*/position	/inflorescences/position*/position	/inflorescences/triad pair number*/minimum	/inflorescences/triad pair number*/maximum	/inflorescences/triad peduncle/length* (cm)	/inflorescences/triad peduncle/length* (cm)	/inflorescences/triad peduncle/length* (cm)/minimum	/inflorescences/triad peduncle/length* (cm)/maximum	/leaf blades/shape*/shape	/leaf blades/shape*/shape	/leaves*/shape	/leaves*/shape	/leaves*/position	/leaves*/position	/leaves*/margin type	/leaves*/margin type	/leaves*/growth form	/leaves*/growth form	/leaves/blade/apex*/shape	/leaves/blade/apex*/shape	/leaves/blade/dimensions* (cm)	/leaves/blade/dimensions* (cm)	/leaves/blade/dimensions* (cm)/minimum	/leaves/blade/dimensions* (cm)/maximum	/leaves/blade/shape*/shape	/leaves/blade/shape*/shape	/leaves/blade/shape*/growth form	/leaves/blade/shape*/growth form	/leaves/petiole/length* (cm)	/leaves/petiole/length* (cm)	/leaves/petiole/length* (cm)/minimum	/leaves/petiole/length* (cm)/maximum	/leaves/veins*/minimum	/leaves/veins*/maximum	/leaves/veins*/shape	/leaves/veins*/shape	/petiole*/shape	/petiole*/shape	/petiole*/margin type	/petiole*/margin type	/petiole/blade/apex*/shape	/petiole/blade/apex*/shape	/petiole/blade/base*/shape	/petiole/blade/base*/shape	/petiole/blade/dimensions* (cm)	/petiole/blade/dimensions* (cm)	/petiole/blade/dimensions* (cm)/minimum	/petiole/blade/dimensions* (cm)/maximum	/petiole/blade/dimensions*/shape	/petiole/blade/dimensions*/shape	/petiole/blade/shape*/shape	/petiole/blade/shape*/shape	/petiole/blade/texture*/texture	/petiole/blade/texture*/texture	/petiole/length* (cm)	/petiole/length* (cm)	/petiole/length* (cm)/minimum	/petiole/length* (cm)/maximum	/petiole/veins*/minimum	/petiole/veins*/maximum	/petiole/veins*/shape	/petiole/veins*/shape	/petiole/veins*/position	/petiole/veins*/position	/habitat/altitude* (m)	/habitat/altitude*/environment	/habitat/altitude*/environment				
STRUTHANTHUS  	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000010000000000	small	00000	-	00000	-	000	-	0000000001000000010	green,white	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0100000000010000100	blue,orange,reddish	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	10000	axillary	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Struthanthus concinnus 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000100000010000000	brown,orange	0.8 x 0.4 cm	0.8	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000010000000000000000000000000000000000000000	ellipsoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000001000000	terete	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	to 3.0 cm long	-	-	3.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	1.0-1.0.5 cm long	-	1.0	1.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000100000000000000000000000000000000000000000000000000000	acute	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	to 8.0 x 2.5 cm	-	-	8.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000010000000000000000000000000000000	lanceolate	0000000000	-	to 1.0 cm long	-	-	1.0	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Struthanthus dichotrianthus 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000010000000	orange	0.8 x 0.5 cm	0.8	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000010000000000000000000000000000000000000000	ellipsoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000001000000	terete	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000100000000000	slender	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0.4-0.7 cm	-	0.4	0.7	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000100000000000	slender	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	mostly to 3.0.0(rarely -9.0) x 1.0(-3.0.0) cm	-	-	3.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000010010000000000000000000000000000	lanceolate,narrow	0000000010	thin	0.2-0.5 cm long	-	0.2	0.5	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Struthanthus gracilis 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000001000000000	green	0.4 cm long	0.4	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	at least 0.5 x 0.35 cm	0.5	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000010000000000000000000000000000000000000000	ellipsoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000001000000	terete	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	to 6.0 cm long	-	-	6.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	5	7	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0.5-0.7 cm long	-	0.5	0.7	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Struthanthus syringifolius 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000100000000000000000000	ovoid	0000000000	-	000	-	00000	-	0000000000000000000	-	to 1.2 x 0.8 cm	-	-	1.2	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000001000000	terete	010	mat	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	to 6.0 cm long	-	-	6.0	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	to 0.5  cm long	-	-	0.5	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000100000000000000000000000000000000000000000000000000000	acute	0000100000000000000000000000000000100000000000000000000000	acute,obtuse	to 15.0 x 7.0 cm	-	-	15.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000010000000000000000000000000000000	lanceolate	0000000000	-	to 2.0 cm long	-	-	2.0	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
TRIPODANTHUS  	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	1000000000000000000	black	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000100000000000000000000	ovoid	0000	-	0000000000000000000000000000000000000000000000000000000000	-	01	glabrous	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	10001	axillary,terminal	-	-	-	-	-	-	0000000000000000000000000010000000001000000000000000000000	lanceolate,ovate	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	2000.0 m	0000	-				
Tripodanthus acutifolius 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	2	4	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
VISCACEAE  	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000010	white	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000001000000	terete	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00001	terminal	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	10001	axillary,terminal	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	high elevations	0000	-				
DENDROPHTHORA  	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000010	white	0.25 x 0.2 cm	0.25	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000100000000000000000000	ovoid	0000	-	0000000001000000000000000000000000000000000000000000000000	branched	00	-	0000000000000000000	-	-	-	extremely low (sometimes to 0.3 cm above axil on larger secondary branches)	-	-	0.3	0000000000000000000000000001000000000000000000000000000000	large	0000000000	-	0000000001000000000	green	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000001000000	terete	00	-	to 3.0 cm long	-	-	3.0	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	1	3	to 0.4 cm long	-	-	0.4	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0.05-0.1 cm	-	0.05	0.1	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	to 2.0 x 0.2.0 cm	-	-	2.0	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000010010000000000000000000000000000	lanceolate,narrow	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	High altitudes	0000	-				
Dendrophthora decipiens 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	000	-	00000	-	0000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000100000000000000	brown	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	4	6	to 2.5 cm long	-	-	2.5	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000010	wide	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000100000000000000001000000000000000000000	elliptical,ovate	0000000000	-	0.4-0.7 cm long	-	0.4	0.7	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
Dendrophthora densifrons 	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000001	tuberculate	000	-	00000	-	0000000000000000010	white	0.5 x 0.6 cm	0.5	-	-	0000000000000000000000000000000000000000000000010000000000	small	0000000000000000000000000000000000000100000000000010000000	ovoid,spherical	0000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	0000000000000000000	-	-	-	to 0.5 cm above axil	-	-	0.5	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	0000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	00	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	00000	-	00000	-	00	-	000	-	0000000000	-	00000	-	000	-	-	-	-	-	ca. 0.3 cm long	0.3	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0.1 cm	0.1	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	-	-	-	-	-	0000000000000000000100000000000000001000000000000000000000	elliptical,ovate	0000000000000000000000000000000000000000000000000000000000	-	00000	-	00000	-	000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000000000000000000000000000000000000000000000000000	-	0000000000	-	-	-	-	-	-	-	0000000000000000000000000000000000000000000000000000000000	-	00000	-	-	0000	-				
