-	/fruits	/fruits/shape	/fruits/texture	/fruits/position	/fruits/hairs	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/growth form	/habit	/habit/texture	/habit/hairs	/habit/growth form	/habit/height	/inflorescences	/inflorescences/shape	/inflorescences/position	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/position/position	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/length	/infructescences	/infructescences/growth form	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/texture	/internodes	/internodes/hairs	/internodes/colour	/leaves	/leaves/blade	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/dimensions	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/shape	/leaves/blade/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/texture	/leaves/petiole	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/length	/leaves/veins	/stems	/stems/length	/habitat	/habitat/altitude			
Peperomia tenella 	Fruits slightly stipitate at maturity, ellipsoid to obpyriform, with short beak and apical stigma.	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	Terrestrial, epilithic or epiphytic, not branched, tiny herb, decumbent and rooting at base,      	0	0	0	0	Inflorescence |, solitary; 	0	0	0	floral bracts rounded to narrowly oblong, glabrous, glandular. 	6274	0	71	0	43	43	peduncle not slender, |, glabrous, green; 	0	71	782	15.0	56	56	0	-	0	0	spike |, green, flowers distinctly separate; 	0	0	782	40	-	0	0	0	0	16.0	0	782	Leaves alternate, basely attached;      	-	0	0	0	0	apex obtuse and minutely emarginate with hairs in indentation, 	4921	106	base acutish to obtuse, glabrous and ciliate, sometimes sparsely pilose; 	4921	71	0	0	0	1.5	0	0	0	5167	0	196	196	petiole |, glabrous or with a few hairs at node; 	0	0	5.0	3	Stem glabrous to somewhat minutely pubescent,|, fertile stems erect. 	0	in forests especially cloud forests	1580000			
Peperomia tetraphylla 	Fruits basely attached in depressions of rachis, narrowly ovoid to ellipsoid-subcylindrical,      	5290	0	0	0	0	apex with short beak and subapical stigma.	0	0	0	0	0	0	0	0	0	0	Epiphytic or rarely epilithic herb, cespitose or rooting at nodes and ascending. 	0	0	0	0	Inflorescence |, solitary; 	0	0	0	floral bracts rounded, glabrous, glandular. 	6274	0	71	0	0	0	peduncle |, minutely pubescent, green; 	0	386	782	20	56	56	0	rachis pubescent; 	386	0	spike |, cream-white; 	0	0	498	40	-	0	0	0	0	0	0	0	4	-	0	0	0	0	apex obtuse, rounded or emarginate, 	4921	0	base obtuse to subacute, somewhat ciliate towards apex and sparsely puberulent to glabrous; 	4921	1	0	0	0	1.2	0	0	0	5905	5905	203	196	petiole |, minutely pubescent; 	0	0	2.0	3	Stem |, minutely pubescent, green. 	250	-	at higher altitudes			
Peperomia transparens 	Fruits basely attached, globose to ovoid, brown, verruculose,      	4306	0	0	0	285	apex with slender beak and terminal stigma.	0	0	56	0	0	0	0	0	0	0	Epilithic, erect or ascending, glabrous herb,  | , rhizome sometimes tuberous.     	0	71	43	0	Inflorescence |, solitary or few together; 	0	0	0	floral bracts rounded, glabrous, glandular. 	6274	0	71	0	0	0	peduncle slender, |, red; 	0	0	1705	40	56	56	0	-	0	0	spike loosely flowered, erect, |, white or green; 	0	43	1705	50	-	0	0	0	0	0	0	0	Leaves alternate, peltate;      	-	0	0	0	0	apex rounded or somewhat acute, 	6274	0	base rounded to cordulate; 	6274	0	0	0	0	6.5	0	0	0	5167	5167	196	196	petiole attached 	0	0	60	7	Stem |, green or red. 	200	on granitic rocks	850000			
Peperomia urocarpa 	Fruits brown, ellipsoid with distinct beak,      	0	0	0	0	285	-	0	0	0	0	0	0	stigma at base of beak.	0	0	0	Epiphytic or epilithic herb. 	0	0	0	0	Inflorescence solitary, simple, 	0	0	0	floral bracts rounded, with scariose margin. 	6274	0	0	0	0	0	2	0	386	0	40	56	56	0	-	0	0	spike |, about as long as peduncle; 	0	0	0	50	-	0	0	0	0	0	0	0	Leaves alternate;      	blade pale glandular-dotted, 	0	0	0	0	apex acute to obtuse, 	247	0	base truncate to subcordate, occasionally obtuse, pubescent or villous on both sides, glabrescent; 	7258	386	0	0	0	3	0	margin ciliolate towards apex, 	0	2830	2830	0	0	petiole |, crisp-pubescent; 	0	0	45.0	7	Stem rooting at nodes, ascending, crisp-pubescent, glabrescent. 	0	-	800000			
PIPER  	Fruits drupes, embedded in rachis to exserted, separate from each other or in compact rows, glabrous or with indument, globose or variously shaped due to compression,      	4306	0	0	71	0	-	0	0	0	0	0	0	stigmas persistent.	0	0	0	Herbs, subshrubs, shrubs or treelets, sometimes with scrambling branches, rarely climbers or lianas. 	0	0	0	0	Inflorescences simple, pedunculate spikes, solitary, leaf-opposed (in P. peltatum axillary on reduced, leafless branches, umbel-like);      	0	1	1705	floral bracts peltate, rounded, triangular or cucullate, subtending reduced flowers. 	6274	0	0	1705	0	0	0	0	0	0	0	0	0	0	-	0	0	-	0	0	0	0	-	0	0	0	0	0	0	0	Leaves alternate;      	blades basely attached or peltate, symmetrical or asymmetrical, at base often quite some difference in attachment of blade to petiole (measures are given where this occurs), glabrous or variously pubescent, often glandular-dotted, sometimes 	739	0	71	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	508	508	petioles often vaginate or winged, at base only or to apex (base of leaf blade), their margins may extend beyond base of blade; 	0	0	0	palmately or pinnately veined. 	Stems usually with swollen nodes. 	0	Weedy species in secondary vegetation, most species are found in the understory of various types of forest, in open spaces or on dark, humid places; 	2000000			
Piper adenandrum 	Fruits separate at maturity, depressed globose, |, verruculose; 	4306	0	0	0	0	-	0	0	0	0	3	0	3	0	0	0	Shrub or treelet, |, pubescent or villous, hairs 	0	386	0	1.5	-	0	0	0	floral bracts densely marginally fringed; 	0	0	0	0	106	106	peduncle |, sometimes reddish tinged, crisp-pubescent or villous; 	0	386	1705	11.0	0	0	0	rachis glabrous; 	71	0	spike |, green to pale or dark yellow, apiculate; 	616	0	782	50	-	0	0	0	0	upper internodes densely glandular. 	0	0	0	blade not conspicuously glandular-dotted, 	0	0	0	0	apex long-acuminate, 	124	0	base unequally attached to petiole difference |, acute or obtusish, glabrous or pubescent above, (densely) crisp-pubescent or villous beneath; 	247	71	0	0	0.2	16.5	0	margin ciliate, 	0	5167	0	0	0	Petiole |, vaginate to middle; 	0	0	5.0	0	0	0	-	500000			
Piper aduncum 	fruits obovoid, trigonous or somewhat tetragonous, |, glabrous or glabrescent, glandular, 	5290	0	0	71	0	-	0	0	0	0	0.8	0	3	0	0	0	Shrub or treelet, 	0	0	0	7	-	0	0	0	floral bracts densely marginally fringed; 	0	0	0	0	127	127	peduncle |, sparsely pubescent; 	0	386	0	12.0	0	0	0	-	0	0	spike |, white to green, apiculate; 	616	0	2415	150	Infructescence recurved;      	127	0	0	0	upper internodes rather slender. 	0	0	Leaves somewhat glandular-dotted;      	blade |, yellow-green, |, 	0	0	0	2486	apex acuminate, 	124	0	base unequally attached to petiole |, rounded to subcordate, sparsely pubescent at least on veins above or glabrescent, sparsely pubescent or glabrescent below, somewhat rugulose; 	6274	386	0	0	0	24	0	0	0	5167	0	508	508	petiole |, pubescent, vaginate near base; 	0	0	8.0	8	Stem sparsely pubescent to glabrescent;      	0	in open or somewhat shady places.	0			
Piper aequale 	fruits oblongoid to trigonous, |, brownish green, glabrous, 	4798	0	0	71	285	-	0	0	0	0	1	0	3	0	0	0	Shrub or treelet, |, glabrous. 	0	71	0	4	-	0	0	0	floral bracts marginally fringed. 	0	0	0	0	43	43	peduncle slender, 	0	0	0	15.0	0	0	0	rachis glabrous; 	71	0	spike |, white or green, apiculate or not; 	616	0	2415	100	Infructescence (grey-)green;      	0	853	0	0	0	0	0	0	blade |, not conspicuously glandular-dotted, shiny green above, pale below, often drying yellowish green, |, 	0	0	0	782	apex acuminate, 	124	0	base equally attached to petiole, acute, cuneate or obtuse, may be truncate or subcordate on sterile branches; 	247	0	0	0	0	23	0	0	0	5167	0	321	313	Petiole slender, |, vaginate only at base; 	0	0	15.0	6	0	0	in forest or even in secondary vegetation, often on granitic outcrops; 	1500000			
Piper alatabaccum 	4	5290	0	0	71	0	-	0	0	0	0	0	0	4	0	0	0	Shrub or treelet, |, glabrous. 	0	71	0	3	-	0	0	0	floral bracts small, rounded peltate, glabrous, caducous; 	6274	0	71	0	43	43	peduncle 	0	0	0	12.0	0	0	0	rachis brownish crisp-pubescent. 	386	285	spike |, white turning green, not apiculate; 	616	0	2415	80	-	0	0	0	0	0	0	0	0	blade not conspicuously glandular-dotted, 	0	0	0	0	apex long-acuminate, 	124	0	base equally attached to petiole, acute; 	247	0	0	0	0	31	0	0	0	0	0	0	0	Petiole |, vaginate at base; 	0	0	25.0	10	0	0	from understory of mixed forest (on slopes);  	750000			
Piper amalago 	Fruits ovoid, conical to apex, |, glabrous or papillose, 	5290	0	0	71	0	-	0	0	0	0	2	0	4	0	0	0	Shrub, 	0	0	0	4	-	0	0	0	floral bracts cucullate, glabrous; 	2215	0	71	0	43	43	peduncle |, glabrous; 	0	71	0	15.0	0	0	0	rachis minutely pubescent; 	386	0	spike |, not apiculate; 	616	0	0	70	-	0	0	0	0	0	0	0	0	-	0	0	0	0	apex acuminate, 	124	0	base equally attached to petiole, acute to subcordate, glabrous or pubescent on veins below; 	247	71	0	0	0	11	0	0	0	6274	0	0	0	Petiole slender, |, vaginate up to middle, glabrous or pubescent; 	0	0	10	7	Stem glabrous or minutely pubescent on upper internodes. 	0	-	1500000			
Piper angustifolium 	fruits depressed globose or obovoid, |, glabrous, 	4306	0	0	71	0	-	0	0	0	0	2.5	0	3	0	0	0	Shrub or subshrub 	0	0	0	1.5	-	0	0	0	floral bracts cucullate, glabrous. 	2215	0	71	0	43	43	peduncle |, retrorsely pubescent; 	0	386	0	4.0	0	0	0	-	0	0	spike almost globose, |, apiculate; 	4306	0	0	1.5	Infructescence erect, green;      	43	782	0	0	0	0	0	0	blade |, not conspicuously glandular-dotted, |, 	0	0	0	0	apex long-acuminate, 	124	0	base equal or almost equally attached to petiole, acute, glabrous; 	247	71	0	0	0	2.8	0	0	0	0	0	508	508	petiole |, vaginate at base, retrorsely pubescent; 	0	0	4.0	10	Stem retrorsely pubescent with swollen nodes. 	0	in primary forest, 	500000			
Piper anonifolium 	fruits depressed globose, glabrous,       	4306	0	0	71	0	-	0	0	0	0	0	0	3	0	0	0	Shrub, occasionally a tree, |, nodose, glabrous. 	0	71	0	3	-	0	0	0	floral bracts cucullate, not fringed, often greyish when dried; 	2215	0	0	853	43	43	peduncle 	0	0	0	10	0	0	0	rachis glabrous; 	71	0	spike |, white, yellow or (greyish) green, apiculate; 	616	0	2415	40	Infructescence 	0	0	12.0	664	0	0	0	0	blade |, somewhat glandular-dotted, often bicoloured, sometimes glaucous or whitish below in vivo, drying silvery shiny, |, 	0	0	0	1705	apex acute to short-acuminate, 	247	0	base equal or almost equally attached to petiole, cuneate or acute, glabrous; 	2338	71	0	0	0	4.7	0	0	0	5167	0	703	703	Petiole |, canaliculate, ciliate on margin or keel, vaginate at base only; 	0	0	10	12	1	0	-	0			
Piper arboreum 	Fruits dark green, laterally compressed, oblongoid or obovoid, |, glabrous or slightly papillose, 	4798	0	23	71	782	-	0	0	0	0	1	0	4	0	0	0	Shrub or treelet, |, sometimes with long, arching branches, often strongly branching. 	0	0	0	7	-	0	0	0	floral bracts |, densely marginally fringed, conspicuously arranged in whorls; 	0	0	0	0	43	43	peduncle moderately stout, 	0	0	0	10	0	0	0	rachis glabrous; 	71	0	spike |, whitish, yellow or pale green, apiculate, densely flowered; 	616	0	2415	100	-	0	0	0	0	0	0	0	0	blade shiny green above, lighter to whitish below, 	0	0	0	782	apex acute to (long-)acuminate, 	247	0	base unequally attached to petiole difference |, longest side obtuse, rounded to cordulate, in narrow leaves acute, shorter side acute to obtuse, glabrous or minutely pubescent below; 	4921	71	0	0	10	25	0	4	0	5167	4798	0	0	Petiole glabrous or minutely pubescent, |, deeply vaginate, 	0	0	20	10	Stem glabrous or minutely pubescent, upper internodes smooth or somewhat lenticellate. 	0	in moist tropical rain forest high, dense, mixed or swamp forest, occasionally in secondary vegetation, 	1500000			
Piper augustum 	Fruits oblongoid, glabrous, may be somewhat papillose, |, becoming stylose or mammiform at apex, 	4798	0	0	71	0	-	0	0	0	0	2	0	stigmas obsolete.	0	0	0	Shrub or treelet, |, glabrous, except for ciliate leaf margin. 	0	71	0	4	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	106	106	peduncle glandular-dotted, |, red to brown; 	0	0	1705	20	0	0	0	rachis glabrous, sometimes red; 	71	1705	spike 	0	0	0	200	-	0	0	0	0	0	0	0	0	blade glandular-dotted, 	0	0	0	0	apex acute, 	247	0	base almost equal to unequally attached to petiole, acute or obtuse, occasionally truncate; 	247	0	0	0	0	35	0	margin ciliate, 	0	5246	0	0	0	Petiole |, vaginate at base; 	0	0	40	16	0	0	often in humid places, also recorded from secondary vegetation, 	1500000			
Piper aulacospermum 	4	4306	0	0	71	0	-	0	0	0	0	4.5	0	4	4306	0	0	Small shrub, |, sparingly branched. 	0	0	0	2.5	Inflorescence |, white, becoming green; 	0	0	2415	floral bracts saccate or galeate, glabrous, densely fimbriate; 	0	0	71	0	43	43	peduncle |, minutely pubescent; 	0	386	0	10	0	0	0	-	0	0	spike |, not apiculate; 	616	0	0	2.0	-	0	0	0	0	0	0	0	0	blade |, not conspicuously glandular-dotted, |, 	0	0	0	0	apex abruptly long-acuminate, 	124	0	base equal or almost equally attached to petiole, acute, glabrous; 	247	71	0	0	0	16.5	0	0	0	4798	4798	664	664	Petiole |, glabrous, deeply vaginate at base; 	0	0	13.0	12	Stem striate or canaliculate, glabrous. 	0	in lowland moist forest, 	450000			
Piper avellanum 	Fruits trigonous or depressed globose, |, glabrous and papillose, 	4306	0	0	71	0	-	0	0	0	0	2	0	3	0	0	0	Shrub or subshrub |, densely short crisp-pubescent, hairs 	0	386	0	2	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	106	106	peduncle slender, |, pubescent; 	0	386	0	10	0	0	0	rachis glabrous; 	71	0	spike |, white, yellow or green, occasionally apiculate or not; 	616	0	2415	55.0	-	0	0	0	0	0	0	0	0	blade not conspicuously glandular-dotted, 	0	0	0	0	apex short-acuminate or acute, 	124	0	base unequally attached to petiole difference |, rounded, obtuse or subacute, glabrous or sparsely short-pubescent above, sparsely to densely so below; 	6274	71	0	0	0.5	7.5	0	margin ciliate, 	0	4870	0	0	0	Petiole |, vaginate to apex, often conspicuously winged, green or maroon; 	0	0	13.0	6	0	0	in (dense) forest, in river-bank or marsh forest and in secondary vegetation.	0			
Piper bartlingianum 	Fruits ovoid to tetragonous, separate, somewhat ridged or winged (at least when dried), glabrous may be somewhat papillose,      	5290	0	0	71	0	-	0	0	0	0	0	0	4	0	0	0	Shrub, subshrub or treelet, |, somewhat nodose, glabrous. 	0	71	0	4	-	0	0	0	floral bracts cucullate, pilose on inner side. 	2215	0	316	0	43	43	peduncle |, glabrous; 	0	71	0	10	0	0	0	rachis hirsute; 	141	0	spike |, green, not apiculate; 	616	0	782	120	-	0	0	0	0	0	0	0	0	blade glossy, |, not conspicuously glandular-dotted, |, 	0	0	0	0	apex acuminate, 	124	0	base equal or almost equally attached to petiole, acute, glabrous; 	247	71	0	0	0	30	0	0	0	4798	0	118	118	Petiole |, glabrous, vaginate near or at base; 	0	0	5.0	8	0	0	in forest on terra firme and in marsh forest, on sand, clay or granite, 	700000			
Piper bolivaranum 	fruits trigonous, |, glabrous, green, 	0	0	0	71	782	-	0	0	0	0	1	0	3	0	0	0	Subshrub 	0	0	0	1.5	-	0	0	0	floral bracts trigonous, densely marginally fringed. 	0	0	0	0	106	43	peduncle |, glabrous; 	0	71	0	11.0	0	0	0	-	0	0	spike|, white, not apiculate; 	616	0	2415	17.0	Infructescence erect, green;      	43	782	0	0	0	0	0	0	blade |, not conspicuously glandular-dotted, |, 	0	0	0	0	apex long-acuminate, 	124	0	base equal, acute, glabrous above, glabrescent or glabrous below; 	247	71	0	0	0	10.5	0	0	0	0	0	508	508	Petiole |, glabrous, vaginate to apex; 	0	0	6.0	3	Stem glabrous. 	0	-	1100000			
Piper brasiliense 	fruits globose, depressed at apex, densely crisp-pubescent,       	4306	0	0	386	0	-	0	0	0	0	0	0	3	0	316	127	Small shrub, 	0	0	0	1	-	0	0	0	floral bracts narrowly sublunulate, sparsely puberulous. 	0	0	351	0	106	106	peduncle |, densely pubescent; 	0	386	0	4.0	0	0	0	-	0	0	spike |, not apiculate?; 	616	0	0	15.0	Infructescence pendent, 	106	0	25.0	664	0	0	0	0	blade |, densely glandular-dotted below, |, 	0	0	0	0	apex acute to slightly acuminate, 	247	0	base unequally attached to petiole difference |, narrowing to lobed base, lobes shorter than petiole, unequal, longer one subreniform, overlapping petiole, blade glabrous above, densely pubescent with long hairs below including veins; 	6028	71	0	0	0.2	7.2	0	0	0	5167	0	508	508	Petiole |, densely pubescent with long hairs, vaginate at base; 	0	0	10	11	Stem densely retrorsely pubescent with hairs 	0	-	650000			
Piper brownsbergense 	fruits depressed-globose to obovoid, glabrous or papillate at apex, substylose,       	4306	0	0	71	0	-	0	0	0	0	0	0	3	0	0	0	Small shrub or subshrub, 	0	0	0	1.5	-	0	0	0	floral bracts triangular-subpeltate, marginally fringed. 	7135	0	0	0	106	106	peduncle |, pilose, glabrescent; 	0	316	0	20	0	0	0	-	0	0	spike 	0	0	0	55.0	Infructescence pendent;      	106	0	0	0	upper internodes drying finely ridged. 	0	0	0	blade glandular-dotted, 	0	0	0	0	apex acute to acuminate, 	247	0	base equal or unequally attached to petiole difference |, subcordate or obtuse, shorter side cuneate, pilose above, more densely so below; 	2092	316	0	0	0.3	21	0	margin ciliate, 	0	0	0	508	508	Petiole |, pilose; 	0	0	5.0	7	Stem somewhat yellow-glandular, pilose, hairs 	0	-	700000			
Piper cernuum 	Fruits obovoid, |, puberulent at apex, 	5290	0	0	351	0	-	0	0	0	0	2.5	0	3	0	0	0	Shrub or treelet, 	0	0	0	6	-	0	0	0	floral bracts marginally fringed; 	0	0	0	0	106	106	peduncle |, densely pubescent; 	0	386	0	30	0	0	0	rachis glabrous; 	71	0	spike |, yellow, not apiculate; 	616	0	2486	600	-	0	0	0	0	0	0	0	0	blade |, not glandular-dotted, |, 	0	0	0	0	apex acute, 	247	0	base equal or almost equally attached to petiole, deeply unequally lobed, glabrous or sparsely pubescent above, veins glabrescent above, densely pubescent below; 	0	71	0	0	0	60	0	0	0	5167	5167	508	508	Petiole vaginate to apex, |, densely pubescent; 	0	0	90	8	Stem densely pubescent. 	0	in moist forest, swampy vegetation and stream sides,	700000			
Piper ciliomarginatum 	fruits trigonous, |, glabrous, 	0	0	0	71	0	-	0	0	0	0	0.4	0	3	0	0	0	Shrub 	0	0	0	3	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	43	43	peduncle |, glabrous; 	0	71	0	16.0	0	0	0	-	0	0	spike |, white, not apiculate; 	616	0	2415	80	Infructescence pendent, |, green; 	106	782	80	664	0	0	0	0	blade |, densely glandular-dotted, |, 	0	0	0	0	apex acute to acuminate, 	247	0	base equal or somewhat unequally attached to petiole difference |, acute or obtuse or rounded or subcordate, glabrous on both surfaces; 	247	71	0	0	4	22	0	margin ciliate, 	0	5167	0	508	508	Petiole of lower leaves |, of upper leaves |, glabrous, vaginate or winged to apex; 	0	0	3.0	46	Stem glabrous. 	0	-	850000			
Piper consanguineum 	fruits depressed globose, |, papillose, green, becoming exserted, 	4306	0	0	0	782	-	0	0	0	0	3	0	3	0	0	127	Herbaceous small shrub, |, sometimes creeping, retrorsely crisp-pubescent. 	0	386	22	0.5	-	0	0	0	floral bracts cucullate, glabrous; 	2215	0	71	0	106	106	peduncle |, glabrescent; 	0	71	0	5.0	0	0	0	rachis pubescent. 	386	0	spike erect, |, white, yellow to green, apiculate; 	616	43	2415	25.0	Infructescence |, green or brownish; 	0	782	3	0	0	0	0	0	blade dark green above often with a pale or white band along primary vein, pale green below, not conspicuously glandular-dotted, 	0	0	0	782	apex obtuse-acute to acuminate, 	4921	0	base equal or almost equally attached to petiole, rounded to subcordate, glabrous above, crisp-pubescent below especially on veins; 	6274	71	0	0	0	7	0	0	0	4798	0	0	0	Petiole |, crisp-pubescent, vaginate near base; 	0	0	15.0	12	0	0	understorey of primary forest or swampy forest, or open forest on laterite; 	650000			
Piper coruscans 	fruits obovoid or somewhat angular, depressed at apex, |, glabrous, green, 	5290	0	0	71	782	-	0	0	0	0	1	0	3	0	0	0	Shrub or subshrub 	0	0	0	3	-	0	0	0	floral bracts rounded to trigonous, densely marginally fringed. 	6274	0	0	0	43	43	peduncle |, glabrous; 	0	71	0	10	0	0	0	-	0	0	spike |, white, apiculate; 	616	0	2415	110	Infructescence erect, green;      	43	782	0	0	0	0	0	0	blade |, often drying yellowish or greyish green, not scabrous, not conspicuously glandular-dotted below, |, 	0	508	0	2486	apex long-acuminate, 	124	0	base equal or almost equally attached to petiole, truncate, rounded or cordulate, glabrous above or primary vein somewhat appressed-pubescent, veins appressed-pubescent below; 	7258	71	0	0	0	24	0	0	0	5167	5167	313	313	Petiole |, glabrous or sparsely pubescent, vaginate to apex; 	0	0	32.0	7	Stem glabrescent. 	0	riverine flood plain forest on white and brown sands, from mud in wet forest on granitic rocks, red clay or deep mud along river, also from swamp forest, 	650000			
Piper crassinervium 	Fruits rounded, glabrous, with persistent style,      	6274	0	0	71	0	-	0	0	0	0	0	0	3	0	0	127	Shrub or treelet, 	0	0	0	5	-	0	0	0	floral bracts marginally fringed. 	0	0	0	0	0	0	peduncle stout, |, pubescent; 	0	386	0	15.0	0	0	0	-	0	0	spike 	0	0	0	0.7	-	0	0	0	0	0	0	0	0	blade |, not glandular-dotted, |, 	0	0	0	0	apex acuminate, 	124	0	base equal or almost equally attached to petiole, truncate or cuneate, but acute to petiole, glabrous above, veins more or less pubescent below; 	7258	71	0	0	0	20	0	0	0	5167	5167	508	508	Petiole |, glabrous or pubescent, vaginate to middle or to apex; 	0	0	15.0	5	0	0	-	0			
Piper cyrtopodum 	Fruits ovoid, |, glandular, glabrous, 	5290	0	0	71	0	-	0	0	0	0	2	0	3	616	0	0	Subshrub or herb, 	0	0	0	3	-	0	0	0	floral bracts cucullate and pilose on inner side and at base. 	2215	0	316	0	106	106	peduncle |, pilose, often red; 	0	316	1705	16.0	0	0	0	-	0	0	spike |, not apiculate; 	616	0	0	50	-	0	0	0	0	0	0	0	0	blade |, not conspicuously glandular-dotted, |, 	0	0	0	0	apex acuminate or acute, 	124	0	base equal or almost equally attached to petiole, subcordate to rounded, somewhat pilose above, more so below; 	2092	316	0	0	0	20	0	margin hardly ciliate, 	0	5167	0	508	508	Petiole |, pilose, glabrescent, vaginate to apex, sometimes reddish tinged; 	0	0	10	8	Stem pilose with hairs 	0	virgin forest, mossy cloud forest, forest on granite and from open places, 	700000			
Piper demeraranum 	fruits globose, |, puberulent at apex, 	4306	0	0	351	0	-	0	0	0	0	2.5	0	3	0	0	0	Subshrub or shrub, 	0	0	0	2.5	-	0	0	0	floral bracts cucullate, glabrous or dorsally puberulent. 	2215	0	71	0	43	43	peduncle |, pubescent, green; 	0	386	782	10	0	0	0	rachis glabrous; 	71	0	spike |, white, yellow or green, apiculate; 	616	0	2415	45.0	Infructescence |, green; 	0	782	6	0	0	0	0	0	blade |, not glandular-dotted, dark green above, more pale below, |, 	0	0	0	782	apex acuminate, 	124	0	base unequally attached to petiole difference |, unequally cordate, with slightly larger, auriculate lobe mostly covering petiole, glabrous above, crisp-pubescent below; 	2092	71	0	0	0.4	26	0	0	0	4306	0	321	313	Petiole |, crisp-pubescent, vaginate to blade; 	0	0	5.0	11	Stem crisp-pubescent or sometimes appressed-pubescent. 	0	in dense forest, montane forest, growing on brown sand with granite boulders or on sandstone	720000			
Piper dilatatum 	Fruits trigonous, glabrous, or with some hairs at top,      	0	0	0	71	0	-	0	0	0	0	0	0	3	0	0	0	Shrub or subshrub 	0	0	0	4	-	0	0	0	floral bracts |, densely marginally fringed; 	0	0	0	0	43	43	peduncle |, puberulent to glabrous; 	0	351	0	10	0	0	0	-	0	0	spike |, white to yellow, not apiculate; 	616	0	2415	80	-	0	0	0	0	0	0	0	0	blade |, not glandular-dotted, |, 	0	0	0	0	apex acuminate, 	124	0	base unequally attached to petiole difference |, unequally cordate, rounded or obtusish, upper surface glabrous to pubescent, veins pubescent, lower surface sparsely to densely pubescent; 	2092	71	0	0	0.4	20	0	0	0	5905	5905	508	508	Petiole |, pubescent sometimes densely so, vaginate to apex, occasionally reddish tinged; 	0	0	15.0	6	Stem crisp-pubescent or scabrous. 	0	-	0			
Piper divaricatum 	fruits obovoid, |, glabrous, becoming exserted, 	5290	0	0	71	0	-	0	0	0	0	2	664	3	0	0	0	Shrub, subshrub or treelet, sometimes scandent, 	0	0	169	3	-	0	0	0	floral bracts marginally fringed. 	0	0	0	0	106	106	peduncle |, glabrous; 	0	71	0	8.0	0	0	0	-	0	0	spike |, whitish, pale yellow or green, apiculate; 	616	0	2415	60	Infructescence 	0	0	60	0	0	0	0	0	blade |, dark glandular-dotted on both sides, |, 	0	0	0	0	apex acute to acuminate, 	247	0	base almost equal, obtuse or acute, glabrous; 	4921	71	0	0	0	20	0	0	0	5905	5905	118	118	Petiole |, vaginate or grooved to apex; 	0	0	22.0	6	Stem glabrous. 	0	in riverine forest, swamp forest, occasionally reported from regenerating forest.	0			
Piper duckei 	Fruits obpyramidate-trigonous,      	0	0	0	0	0	apex depressed, glandular, pubescent, 	0	0	0	386	0	0	3	4552	0	0	Shrub 	0	0	0	1.5	-	0	0	0	floral bracts densely marginally fringed. 	0	0	0	0	43	43	peduncle |, crisp-pubescent; 	0	386	0	15.0	0	0	0	-	0	0	spike |, pink, apiculate; 	616	0	1563	160	-	0	0	0	0	0	0	0	0	blade drying glossy above, |, not conspicuously glandular-dotted, |, 	0	0	0	0	apex (long) acuminate, 	124	0	base equal or unequally attached to petiole difference |, rounded or cordulate, one side may be subacute, glabrous above, hirsute below, veins densely so; 	6274	71	0	0	0.5	21	0	0	0	739	739	508	508	Petiole |, hirsute, broadly vaginate or winged to apex; 	0	0	12.0	8	Stem densely hirsute. 	0	dense forest on brown sand, 	240000			
